parameter,q_mean_normalized,true_normalized,error
load_7.delta_2,0.4999270737171173,0.25,0.2499270737171173
load_10.delta_2,0.49195313453674316,0.25,0.24195313453674316
load_4.delta_2,0.4811388850212097,0.25,0.23113888502120972
load_16.delta_2,0.4990823268890381,0.25,0.24908232688903809
load_7.omega_0p,0.48893827199935913,0.25,0.23893827199935913
load_10.omega_0p,0.497628778219223,0.25,0.24762877821922302
load_10.R_p,0.49825602769851685,0.25,0.24825602769851685
load_7.R_p,0.5122905373573303,0.25,0.2622905373573303
load_10.zeta_p,0.5104559659957886,0.25,0.2604559659957886
load_4.omega_0p,0.5000161528587341,0.25,0.25001615285873413
load_16.omega_0p,0.5069506168365479,0.25,0.25695061683654785
load_7.zeta_p,0.49606525897979736,0.25,0.24606525897979736
load_4.R_p,0.4985015392303467,0.25,0.24850153923034668
load_16.R_p,0.5029920339584351,0.25,0.25299203395843506
load_4.zeta_p,0.493469774723053,0.25,0.24346977472305298
load_16.zeta_p,0.5098543763160706,0.25,0.25985437631607056
