parameter,q_mean_normalized,true_normalized,error
load_4.delta_1,0.49881479144096375,0.25,0.24881479144096375
load_16.delta_1,0.5115329027175903,0.25,0.26153290271759033
load_7.delta_2,0.5104433298110962,0.25,0.2604433298110962
load_10.delta_2,0.4875144362449646,0.25,0.2375144362449646
load_4.delta_2,0.5095801949501038,0.25,0.25958019495010376
load_16.delta_2,0.49150368571281433,0.25,0.24150368571281433
load_7.omega_0p,0.5180696249008179,0.25,0.26806962490081787
load_10.omega_0p,0.4881237745285034,0.25,0.23812377452850342
load_10.R_p,0.49419164657592773,0.25,0.24419164657592773
load_7.R_p,0.49617597460746765,0.25,0.24617597460746765
load_10.zeta_p,0.4944818913936615,0.25,0.2444818913936615
load_4.omega_0p,0.504108190536499,0.25,0.254108190536499
load_16.omega_0p,0.5114744305610657,0.25,0.2614744305610657
load_7.zeta_p,0.4973631799221039,0.25,0.24736317992210388
load_4.R_p,0.5012538433074951,0.25,0.2512538433074951
load_16.R_p,0.5173543095588684,0.25,0.2673543095588684
load_4.zeta_p,0.502639889717102,0.25,0.25263988971710205
load_16.zeta_p,0.5065644383430481,0.25,0.2565644383430481
